id,title,movement,case_material,year,condition,ref,box,papers,location,case_diameter,price,url
20658147,"Rolex Daytona Cosmograph 116500LN Ceramic Bezel, Black Dial",Automatic,Steel,2019,Unworn,116500LN,Y,Y,"Singapore, singapore",40 mm,"S$46,800",https://www.chrono24.sg/rolex/rolex-daytona-cosmograph-116500ln-ceramic-bezel-black-dial--id20658147.htm
14359374,"Rolex MK 1 Dial, Submariner (No Date)",Automatic,Steel,1978,Good,5513,Y,Y,Singapore,40 mm,Price on request,https://www.chrono24.sg/rolex/mk-1-dial-submariner-no-date--id14359374.htm
20598416,Rolex Datejust 36mm Ref. 16234 (Salmon Roman Dial),Automatic,Steel,1990,Very good,16234,N,N,"Singapore, Singapore",36 mm,"S$8,600",https://www.chrono24.sg/rolex/datejust-36mm-ref-16234-salmon-roman-dial--id20598416.htm
20438695,Rolex Submariner Date,Automatic,Gold/Steel,2019,Very good,116613LN,Y,Y,"Singapore, Singapore",40 mm,"S$22,800",https://www.chrono24.sg/rolex/submariner-date--id20438695.htm
20570195,Rolex Oyster Perpetual Air-King Date “Super Precision” Ref. 5700,Automatic,Steel,1963,Fair,5700,N,N,"Singapore, Singapore",34 mm,"S$4,950",https://www.chrono24.sg/rolex/rolex-oyster-perpetual-air-king-date-super-precision-ref-5700--id20570195.htm
19970068,Rolex GMT-Master II,Automatic,Steel,2021,Unworn,126710BLNR-0002,Y,Y,"Singapore, Singapore",40 mm,"S$25,500",https://www.chrono24.sg/rolex/gmt-master-ii--id19970068.htm
20724169,Rolex Daytona - [RARE] Blue racing dial with red hands,Automatic,Gold/Steel,2019,Very good,116503,Y,Y,"Singapore, Singapore",40 mm,"S$57,253",https://www.chrono24.sg/rolex/rolex-daytona---rare-blue-racing-dial-with-red-hands--id20724169.htm
19980820,Rolex Explorer II,Automatic,Steel,2011,Very good,216570,Y,Y,"Singapore, Singapore",42 mm,"S$14,888",https://www.chrono24.sg/rolex/explorer-ii--id19980820.htm
20356190,Rolex Daytona 116520 K Series Thin Hands UNPOLISHED,Automatic,Steel,2002,Good,116520,Y,Y,"Singapore, Singapore",40 mm,"S$35,666",https://www.chrono24.sg/rolex/daytona-116520-k-series-thin-hands-unpolished--id20356190.htm
18868847,Rolex GMT-Master Pepsi in Steel Ref: 16750,Automatic,Steel,1986,Fair,16750,Y,N,Singapore,40 mm,"S$16,850",https://www.chrono24.sg/rolex/rolex-gmt-master-pepsi-in-steel-ref-16750--id18868847.htm
19257469,Rolex Submariner Date Tritium in Stainless Steel Ref: 16610,Automatic,Steel,1995,Fair,16610,N,N,Singapore,40 mm,"S$13,680",https://www.chrono24.sg/rolex/rolex-submariner-date-tritium-in-stainless-steel-ref-16610--id19257469.htm
14598833,Rolex Oyster Perpetual Date,Automatic,Yellow gold,1986,Very good,15037,N,N,"Singapore, Singapore",34 mm,"S$12,000",https://www.chrono24.sg/rolex/oyster-perpetual-date--id14598833.htm
20010531,Rolex Submariner Date,Automatic,Steel,2013,Very good,116610LV,Y,N,"Singapore, Singapore",40 mm,"S$28,168",https://www.chrono24.sg/rolex/submariner-date--id20010531.htm
20318771,Rolex Sea-Dweller 16600 NOS FULL SET,Automatic,Steel,2008,Unworn,16600,Y,Y,"Singapore, Singapore",40 mm,"S$20,577",https://www.chrono24.sg/rolex/sea-dweller-16600-nos-full-set--id20318771.htm
19036872,Rolex SS | Pink 31 Oyster Perpetual 31 277200,Automatic,Steel,2020,Unworn,277200,Y,Y,Singapore,31 mm,Price on request,https://www.chrono24.sg/rolex/ss--pink-31-oyster-perpetual-31-277200--id19036872.htm
20644620,Rolex Day-Date Oysterquartz in Yellow Gold,Quartz,Yellow gold,-,Fair,19018,N,N,Singapore,36 mm,"S$16,000",https://www.chrono24.sg/rolex/rolex-day-date-oysterquartz-in-yellow-gold--id20644620.htm
20521622,"Rolex Cosmograph Daytona ""Black Spyder"" in 18k White Gold Ref:...",Automatic,White gold,2009,Good,116509,Y,Y,Singapore,40 mm,"S$49,300",https://www.chrono24.sg/rolex/rolex-cosmograph-daytona-black-spyder-in-18k-white-gold-ref-116509--id20521622.htm
19960966,"Rolex GMT-Master 1675, MK 4 dial, watch only",Automatic,Steel,1979,Fair,1675,N,N,Singapore,40 mm,"S$23,526",https://www.chrono24.sg/rolex/rolex-gmt-master-1675-mk-4-dial-watch-only--id19960966.htm
18720889,Rolex Ladies Yacht-Master Yellow Gold 29mm 69628 White MOP...,Automatic,Yellow gold,1996,Very good,69628,Y,N,Singapore,29 mm,"S$17,850",https://www.chrono24.sg/rolex/rolex-ladies-yacht-master-yellow-gold-29mm-69628-white-mop-rubies---discontinued--id18720889.htm
19610001,Rolex Sea-Dweller Deepsea,Automatic,Steel,2012,Unworn,116660,Y,Y,"Singapore, singapore",44 mm,"S$18,500",https://www.chrono24.sg/rolex/sea-dweller-deepsea--id19610001.htm
20367814,Rolex Oyster Precision Royal 34mm Ref. 6426,Manual winding,Steel,1966,Very good,6426,N,N,"Singapore, Singapore",34 x 42 mm,"S$3,800",https://www.chrono24.sg/rolex/oyster-precision-royal-34mm-ref-6426--id20367814.htm
20198143,Rolex Explorer II 40mm Tritium White Dial Ref: 16550,Automatic,Steel,1984,Fair,16550,N,N,Singapore,40 mm,"S$19,455",https://www.chrono24.sg/rolex/rolex-explorer-ii-40mm-tritium-white-dial-ref-16550--id20198143.htm
19614035,Rolex SS | Blue Sky-Dweller 326934,Automatic,Steel,2021,Unworn,326934,Y,Y,Singapore,42 mm,Price on request,https://www.chrono24.sg/rolex/ss--blue-sky-dweller-326934--id19614035.htm
18585491,Rolex SS | Grey Datejust 41 126334,Automatic,Steel,2021,Unworn,126334,Y,Y,Singapore,41 mm,Price on request,https://www.chrono24.sg/rolex/ss--grey-datejust-41-126334--id18585491.htm
18042954,Rolex GMT-Master II,Automatic,Steel,2009,Very good,116710LN,Y,Y,"Singapore, Singapore",40 mm,"S$20,500",https://www.chrono24.sg/rolex/gmt-master-ii--id18042954.htm
13001848,Rolex Lady-Datejust,Automatic,White gold,2019,New,179179,Y,Y,Singapore,26 mm,Price on request,https://www.chrono24.sg/rolex/lady-datejust--id13001848.htm
18662694,Rolex Datejust 16013 Champagne Linen Dial Vintage Watch (Year...,Automatic,Gold/Steel,1984,Good,16013,N,N,Singapore,36 mm,"S$6,612",https://www.chrono24.sg/rolex/rolex-datejust-16013-champagne-linen-dial-vintage-watch-year-1984--id18662694.htm
20200088,Rolex Daytona Beach Blue 116519,Automatic,White gold,-,Good,116519,Y,Y,Singapore,40 mm,"S$130,000",https://www.chrono24.sg/rolex/rolex-daytona-beach-blue-116519--id20200088.htm
19521670,Rolex Submariner 41mm 2020,Automatic,Steel,2021,Very good,124060-0001,Y,Y,"Singapore, Singapore",41 x 40 mm,"S$18,000",https://www.chrono24.sg/rolex/rolex-submariner-41mm-2020--id19521670.htm
20714136,Rolex Datejust 36mm Buckley Dial in Stainless Steel Ref: 16014,Automatic,Steel,1978,Fair,16014,N,N,Singapore,36 mm,"S$7,680",https://www.chrono24.sg/rolex/rolex-datejust-36mm-buckley-dial-in-stainless-steel-ref-16014--id20714136.htm
20397851,Rolex Oysterdate Precision,Manual winding,Steel,1967,Good,6694,N,N,"Singapore, 588645",34 x 42 mm,"S$3,950",https://www.chrono24.sg/rolex/oysterdate-precision--id20397851.htm
19997124,Rolex Oysterdate Precision,Manual winding,Steel,-,Good,6694,N,N,Singapore,34 x 40 mm,"S$3,600",https://www.chrono24.sg/rolex/rolex-oysterdate-precision--id19997124.htm
4877331,Rolex Vintage Rolex Oyster Ultra Prima Gold Cushion Case,Manual winding,Yellow gold,1925,Good,-,Y,N,Singapore,28 x 32 mm,"S$10,288",https://www.chrono24.sg/rolex/vintage--rolex-oyster-ultra-prima-gold-cushion-case--id4877331.htm
17082462,Rolex GMT-Master II,Automatic,Gold/Steel,2018,Very good,126711CHNR,Y,Y,"Singapore, Singapore",40 mm,"S$28,000",https://www.chrono24.sg/rolex/gmt-master-ii--id17082462.htm
19870666,Rolex Datejust,Automatic,Steel,2020,Unworn,126234-0017,Y,Y,"Singapore, Singapore",36 mm,"S$14,404",https://www.chrono24.sg/rolex/datejust--id19870666.htm
14251319,Rolex Two-Tone Yachtmaster 126621,Automatic,Gold/Steel,2020,Unworn,126621,Y,Y,Singapore,40 mm,Price on request,https://www.chrono24.sg/rolex/two-tone-yachtmaster-126621--id14251319.htm
20507053,"Rolex Explorer I 36mm ""Swiss"" only Dial Ref: 14270",Automatic,Steel,1999,Fair,14270,N,N,Singapore,36 x 43 mm,"S$9,490",https://www.chrono24.sg/rolex/rolex-explorer-i-36mm-swiss-only-dial-ref-14270--id20507053.htm
